,0
996,ABalpaapppapp
997,ABalpaapppp
998,ABalpaappppa
999,ABalpaappppaa
1000,ABalpaappppaaa
1001,ABalpaappppaaaa
1002,ABalpaappppaaap
1003,ABalpaappppaap
1004,ABalpaappppap
1005,ABalpaappppapa
1006,ABalpaappppapp
1007,ABalpaappppappa
1008,ABalpaappppappp
1009,ABalpaappppp
1010,ABalpaapppppa
1011,ABalpaapppppp
1012,ABalpaappppppa
1013,ABalpaappppppp
1014,ABalpaapppppppa
1015,ABalpaapppppppaa
1016,ABalpaapppppppaaa
1017,ABalpaapppppppaap
1018,ABalpaapppppppap
1019,ABalpaapppppppapa
1020,ABalpaapppppppapp
1021,ABalpaapppppppp
1022,ABalpaappppppppa
1023,ABalpaappppppppp
1024,ABalpap
1025,ABalpapa
1026,ABalpapaa
1027,ABalpapaaa
1028,ABalpapaaaa
1029,ABalpapaaaaa
1030,ABalpapaaaaaa
1031,ABalpapaaaaap
1032,ABalpapaaaap
1033,ABalpapaaaapa
1034,ABalpapaaaapp
1035,ABalpapaaap
1036,ABalpapaaapa
1037,ABalpapaaapaa
1038,ABalpapaaapaaa
1039,ABalpapaaapaaaa
1040,ABalpapaaapaaap
1041,ABalpapaaapaaapa
1042,ABalpapaaapaaapp
1043,ABalpapaaapaap
1044,ABalpapaaapaapa
1045,ABalpapaaapaapp
1046,ABalpapaaapap
1047,ABalpapaaapapa
1048,ABalpapaaapapp
1049,ABalpapaaapappa
1050,ABalpapaaapappaa
1051,ABalpapaaapappap
1052,ABalpapaaapappp
1053,ABalpapaaapp
1054,ABalpapaaappa
1055,ABalpapaaappaa
1056,ABalpapaaappap
1057,ABalpapaaappp
1058,ABalpapaaapppa
1059,ABalpapaaapppaa
1060,ABalpapaaapppap
1061,ABalpapaaapppp
1062,ABalpapaaappppa
1063,ABalpapaaappppp
1064,ABalpapaaapppppa
1065,ABalpapaaapppppp
1066,ABalpapaap
1067,ABalpapaapa
1068,ABalpapaapaa
1069,ABalpapaapaaa
1070,ABalpapaapaap
1071,ABalpapaapaapa
1072,ABalpapaapaapp
1073,ABalpapaapap
1074,ABalpapaapapa
1075,ABalpapaapapp
1076,ABalpapaapp
1077,ABalpapaappa
1078,ABalpapaappaa
1079,ABalpapaappap
